primary_doi,source_ref_from_compilation,raw_block_rows,positive_qe_rows,core_process_complete_rows,plus_basic_material_rows,plus_elemental_CO_rows,qe_min_compilation,qe_max_compilation,primary_metadata_verified,primary_fulltext_or_supplement_checked,row_values_verified_against_primary,target_semantics_verified,units_verified,duplicate_lineage_checked,v3_admission_status,verification_notes
10.1016/j.jenvman.2019.109730,Ajmal et al 2020,107,107,107,107,107,1.13322040543577,13.2841445793002,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1039/c9ra02052g,Cui et al_2019,24,24,24,24,24,4.80349581100792,236.244539856735,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.colsurfa.2018.10.082,"Wang et al., 2019",85,84,84,84,84,0.126579184120444,59.4936697913599,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.chemosphere.2020.127469,"Zheng et al., 2020",119,118,118,118,118,0.0689135465526956,37.7033528537775,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s11356-016-7820-9,Richveisova et al 2017,75,73,72,72,0,0.00420382379964173,4.05208349352082,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1039/c8ra10400j,"Zhong et al., 2019",75,75,75,75,75,0.154217326761833,13.8252424491992,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1080/19443994.2014.994104,"Li et al., 2016",15,15,15,15,15,8.28822456362292,15.0896309100806,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s11356-020-09166-5,Zhang et_al_2020,77,77,77,77,77,0.44603081749259843,6.088432009348707,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s11356-023-27372-9,Hao et al 2023,87,86,86,86,86,0.0127387046427069,21.5999979125975,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.3390/su15031778,"Liu et al., 2023",64,64,64,64,0,6.24743450955622,128.357004382298,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s00267-022-01775-9,"Medha et al., 2023",48,48,48,48,48,5.13699008635977,59.6153850033438,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.3390/ijerph20010326,"Qin et al., 2023",120,116,116,116,116,0.009493526052805734,11.0707267544258,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2022.128263,"Zhang et al., 2023",39,37,0,0,0,15.0197697515662,209.074739821904,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.chemosphere.2016.02.004,Wang et al 2016,21,21,21,21,0,15.5706003584265,60.1431779663421,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
